FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE,WINNER_FLAG,GENDER_FLAG,NOMINEE_FLAG
1,Best Motion Picture – Foreign Language,Mustang,0,Mustang,,11/20/2015,MustangFilm,,,L,,1
1,Best Motion Picture – Foreign Language,The Club,0,The Club,,2/5/2016,,,,L,,1
1,Best Motion Picture – Foreign Language,The Fencer,0,The Fencer,TheFencerMovie,3/13/2015,TheFencer,,,L,,1
1,Best Motion Picture – Foreign Language,Son of Saul,0,Son of Saul,sonofsaulfilm,12/18/2015,SonOfSaul,,,W,,1
1,Best Original Score,Alexandre Desplat,1,The Danish Girl,,11/27/2015,TheDanishGirl,,,L,M,1
1,Best Original Score,Carter Burwell,1,Carol,carterburwell,11/20/2015,CarolMovie,11/18/1954,61,L,M,1
1,Best Original Score,Ennio Morricone,1,The Hateful Eight,MEnnioMorricone,12/25/2015,TheHatefulEight,11/10/1928,87,W,M,1
1,Best Original Score,Daniel Pemberton,1,Steve Jobs,DANIELPEMBERTON,10/9/2015,SteveJobsMovie,11/3/1977,38,L,M,1
1,Best Original Score,Ryuichi Sakamoto Alva Noto,1,The Revenant,ryuichisakamoto,12/25/2015,TheRevenant,1/17/1952,64,L,M,1
1,Best Original Song,One Kind of Love ,0,Love & Mercy,,12/26/2014,LoveandMercy,,,L,,1
1,Best Original Song,Love Me Like You Do,0,Fifty Shades of Grey,,2/13/2015,FiftyShades,,,L,,1
1,Best Original Song,See You Again ,0,Furious 7,,4/3/2015,Furious7,,,L,,1
1,Best Original Song,Writing’s on the Wall,0,Spectre,,11/6/2015,SPECTRE,,,W,,1
1,Best Original Song,Simple Song No. 3,0,Youth,,12/4/2015,theYouth,,,L,,1
1,Best Screenplay – Motion Picture,Tom McCarthy,1,Spotlight,,11/6/2015,SpotlightMovie,,,L,M,1
1,Best Screenplay – Motion Picture,Josh Singer,1,Spotlight,,11/6/2015,SpotlightMovie,,,L,M,1
1,Best Screenplay – Motion Picture,Charles Randolph,1,The Big Short,,12/11/2015,TheBigShort,,,L,M,1
1,Best Screenplay – Motion Picture,Aaron Sorkin,1,Steve Jobs,,10/9/2015,SteveJobsMovie,6/9/1961,54,W,M,1
1,Best Screenplay – Motion Picture,Quentin Tarantino,1,The Hateful Eight,,12/25/2015,TheHatefulEight,3/27/1963,52,L,M,1
1,Best Screenplay – Motion Picture,Emma Donoghue,1,Room,EDonoghueWriter,9/4/2015,RoomMovie,10/24/1969,46,L,F,1
