,Spotlight
460,"RT @NatSocFilmCrix: BEST SCREENPLAY: Josh Singer and Tom McCarthy, ""Spotlight"""
461,"RT @NatSocFilmCrix: BEST PICTURE: ""Spotlight"""
462,"RT @THR: .@AARP names @SpotlightMovie Best Picture, salutes Ridley Scott and David O. Russell https://t.co/bXXhOubeLs https://t.co/VB7KqWoC…"
463,RT @kristapley: ‘Spotlight’ Named Best Film of 2015 by Boston Society of Film Critics https://t.co/kesVJ3yIju via @Variety https://t.co/Mwi…
464,"RT @SachaPfeiffer: Meet the infamous @SpotlightMovie khakis, courtesy of Rachel McAdams, who saved them &amp; sent me this keepsake photo! http…"
465,"RT @JonEForeman: Few movies get newsrooms right; acc to my former @nypost colleague, Spotlight is 1 that does
https://t.co/HD6Vi9e7FV https…"
466,"Movie swag du jour, courtesy of Fox Spotlight. https://t.co/IQMVh4Qa65"
467,"RT @bscritic: They made a movie about journalism at its best, #Spotlight, that may be the most journalistically done feature ever: https://…"
468,Saw @SpotlightMovie again Monday. Loved it even more than back in September! https://t.co/ZEU4jU25OM https://t.co/9U8IlHqEpG
469,RT @NeumaierMovies: Ben Bradlee Sr./Jr. don’t resemble each other or their actors-but Jason Robards/John Slattery? Dad &amp; son. #Spotlight ht…
470,"#NYFCC Michael Keaton on his ""Spotlight"" acting award: ""Thanks. Just thanks. That's it."""
471,"#NYFCC Director Tom McCarthy (""Spotlight"") present acting award to Michael Keaton by recalling his early appearance on ""Mister Rogers."""
472,"Liev Schreiber and John Slattery of ""Spotlight"" at #HIFF http://t.co/7DN7qe9S9p"
473,"Director Tom McCarthy of ""Spotlight"" at #HIFF http://t.co/VIy6VXY39X"
474,"Hamptons International Film Festival features 'Spotlight,' 'Carol,' more Oscar contenders: The Hamptons Intern... http://t.co/PICB75qy23"
475,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
476,"Should win Golden Globes: Spotlight, Big Short, Schumer, Saoirse Ronan, Damon,Fassbender, Paul Dano, Vikander, George Miller. Which won't?"
477,"RT @MarkHarrisNYC: My final entry for the 2015 Slate Movie Club--Mad Max, Spotlight, great screenwriting, and the worst last line ever. htt…"
478,RT @TheWrap: Boston Globe Opens ‘Spotlight’ Journalism Fellowship https://t.co/EhGEZ49zD4 https://t.co/N5QsxfnWKm
479,Movies about journalism rarely dig into the process of reporting. Tom McCarthy's Spotlight is a thrilling exception: https://t.co/JJ0OuUAGmV
480,"@iaincredible If you want to see something good in theaters this weekend, check out Spotlight. Or (if you like gothic horror) Crimson Peak."
481,@andy_birdy Highly relevant. I was just now writing about his performance in Spotlight. He radiates such basic decency! &amp; is fluffy to boot!
482,Spotlight Oscar campaign shamelessly leveraging @jpodhoretz https://t.co/z2hN09o5FC
483,The Rachel McAdams Oscar nomination for Spotlight is a head-scratcher.  Also Keaton was better than Ruffalo.
484,RT @tohmovies: How Open Road CEO Tom Ortenberg Shepherded 'Spotlight' to Oscar Frontrunner https://t.co/l5CF4fI9A9 https://t.co/DoRrhqUpqw
485,"RT @IWCriticwire: Dallas critics go for Spotlight, and The Revenant finally picks up some awards love: https://t.co/1vcOGxxxfn https://t.co…"
486,RT @IWCriticwire: Did a Boston critics group “snub” hometown favorite Spotlight? https://t.co/6rEFXSn2yi https://t.co/nIMg0WWIzC
487,"@bhkoe @MarkRuffalo @SpotlightMovie I get it. I'm not opposed to this well-acted ensemble piece, I just find it rather conventional."
488,@bhkoe @MarkRuffalo @SpotlightMovie I just wish he'd stop running around so much.
