,Spotlight
128,"Spotlight's real MVP (and sole provider of comic relief): Gene Amoroso as Steve ""Omertà"" Kurkjian. https://t.co/MV0AtoA9yt"
129,@tomsmovies I'd have used 'purlease' to differentiate sentiments. I'm in the Spotlight camp.
130,Best Picture nods ranked: Spotlight &gt; Room &gt; Brooklyn &gt; Bridge of Spies &gt; Fury Road &gt; The Big Short &gt; The Revenant &gt; The Martian. #OscarNoms
131,"Best Picture predictions: Big Short, Bridge of Spies, Brooklyn, Carol, Fury Road, Inside Out, The Martian, The Revenant, Spotlight."
132,@GregWetherall Also &gt; Spotlight.
133,Fighting the urge to do *jazz hands* every time I mention the film Spotlight.
134,Rewatching Spotlight.
135,"@DirRobSavage Saul, Club, Carol, Dinosaur, Assassin, Syrian, Spotlight, Room and Lobster."
136,Wonder if the old guard will go for it? Of course they ruddy will. All it missed was a spinning front page. #Spotlight
137,"Just like its fervent journos, Spotlight is clinical, hard-nosed and favours diligence above melodrama at all times. A class act."
138,FYC joints dropping like dominoes. Tonight it's the turn of Spotlight.
139,RT @LWLies: How do you tell the truth without fear or favour? @sopharsogood investigates: https://t.co/MmSReU99cX #Spotlight https://t.co/y…
140,"Hey Venice peeps, is Spotlight better than The Cobbler?"
141,RT @ChazEbert: Read @sheilakathleen 's 3 1/2 star review of #Spotlight and 12 other new reviews: https://t.co/4OIGxR5Kvg https://t.co/5ZcaP…
142,RT @ChazEbert: #MeridithBrody gives good defense of conventional movies #Spotlight to #ManwhoKnewInfinity: http://t.co/6C1BoUdSQH http://t.…
143,RT @ChazEbert: Yes we can handle the truth 2 films about reporters uncovering scandals #Spotlight &amp; #Truth: http://t.co/7oInXPn3sA http://t…
144,RT @ChazEbert: @indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/rPUnR4BE9r http:/…
145,@indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/FmdYNcUwbH http://t.co/fzgiHEOTOC
146,★★★★ Oscar hopeful #Spotlight refocuses recent events as a modern-day tragedy https://t.co/fWP5ZZGazA #Oscars https://t.co/31iMuXLAXt
147,"Pick of the Week on @theartsdesk: Monet, Caryl Churchill, #Spotlight and Circa https://t.co/KIZfavO1MV https://t.co/kmuv96qEtw"
